,"EntryType","LootMinRarity","LootMaxRarity","LootMinPowerLevel","LootMaxPowerLevel","LootType","LootSpecifier","AllowGrouping"
"NewRow2","Reward","Legendary","Legendary",2,2,"Mod","Lancer","True"
"NewRow8","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow9","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow10","Loot","Rare","Rare",2,2,"Mod","Any","True"
"NewRow11","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow12","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow13","Loot","Rare","Rare",2,2,"Armour","Any","True"
"NewRow14","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow15","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow16","Special","Rare","Rare",2,2,"BonusCrates",,"True"
"NewRow17","Special","Rare","Rare",3,3,"BonusXP",,"True"
"NewRow18","Special","Rare","Rare",1,1,"VisibleFinalReward",,"True"
"NewRow19","Reward","Rare","Rare",2,2,"Character","Any| Any|-10","True"
"NewRow20","Reward","Rare","Rare",2,2,"Character","Any| Any|-10","True"
