---,DifficultyLevel,PointsThreshold,RewardedCrates,CrateRarity,CrateType
NewRow_1,Casual,900,1,Rare,Power
NewRow_2,Casual,800,1,Rare,Power
NewRow_3,Casual,700,1,Rare,Power
NewRow_4,Casual,600,1,Rare,Power
NewRow_5,Casual,500,1,Rare,Power
NewRow_6,Normal,900,1,Rare,Power
NewRow_7,Normal,800,1,Rare,Power
NewRow_8,Normal,700,1,Rare,Power
NewRow_9,Normal,600,1,Rare,Power
NewRow_10,Normal,500,1,Rare,Power
NewRow_11,Hardcore,900,1,Rare,Power
NewRow_12,Hardcore,800,1,Rare,Power
NewRow_13,Hardcore,700,1,Rare,Power
NewRow_14,Hardcore,600,1,Rare,Power
NewRow_15,Hardcore,500,1,Rare,Power
NewRow_16,Insane,900,1,Rare,Power
NewRow_17,Insane,800,1,Rare,Power
NewRow_18,Insane,700,1,Rare,Power
NewRow_19,Insane,600,1,Rare,Power
NewRow_20,Insane,500,1,Rare,Power
