,"EntryType","LootMinRarity","LootMaxRarity","LootMinPowerLevel","LootMaxPowerLevel","LootType","LootSpecifier","AllowGrouping"
"NewRow3","Reward","Rare","Rare",2,2,"Armour","Ranger|Upper","True"
"NewRow4","Reward","Rare","Rare",2,2,"Armour","Ranger|Lower","True"
"NewRow6","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow7","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow8","Loot","Rare","Rare",2,2,"Mod","Any","True"
"NewRow9","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow10","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow11","Loot","Rare","Rare",2,2,"Armour","Any","True"
"NewRow12","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow13","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow19","Special","Rare","Rare",2,2,"BonusCrates",,"True"
"NewRow20","Special","Rare","Rare",450,450,"Currency",,"True"
"NewRow21","Special","Rare","Rare",3,3,"BonusXP",,"True"
"NewRow22","Special","Rare","Rare",1,1,"VisibleFinalReward",,"True"
"NewRow23","Reward","Rare","Rare",2,2,"Character","Any| Any|-10","True"
"NewRow24","Reward","Rare","Rare",2,2,"Character","Any| Any|-10","True"
