,"EntryType","LootMinRarity","LootMaxRarity","LootMinPowerLevel","LootMaxPowerLevel","LootType","LootSpecifier","AllowGrouping"
"NewRow2","Reward","Legendary","Supreme",9,11,"Mod","Longshot","True"
"NewRow6","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow7","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow8","Loot","Rare","Rare",2,2,"Mod","Any","True"
"NewRow9","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow10","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow11","Loot","Rare","Rare",2,2,"Armour","Any","True"
"NewRow12","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow13","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow14","Special","Rare","Rare",2,2,"BonusCrates",,"True"
"NewRow15","Special","Rare","Rare",3,3,"BonusXP",,"True"
"NewRow16","Special","Rare","Rare",1,1,"VisibleFinalReward",,"True"
"NewRow17","Reward","Rare","Rare",4,4,"Character","Any| Any|-10","True"
"NewRow18","Reward","Rare","Rare",4,4,"Character","Any| Any|-10","True"
