,"EntryType","LootMinRarity","LootMaxRarity","LootMinPowerLevel","LootMaxPowerLevel","LootType","LootSpecifier","AllowGrouping"
"NewRow2","Reward","Legendary","Legendary",2,2,"Mod","RetroLancer","True"
"NewRow3","Reward","Rare","Rare",3,3,"Character","Any| Any|-10","True"
"NewRow4","Reward","Rare","Rare",3,3,"Character","Any| Any|-10","True"
"NewRow5","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow6","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow7","Loot","Rare","Rare",2,2,"Mod","Any","True"
"NewRow8","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow9","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow10","Loot","Rare","Rare",2,2,"Armour","Any","True"
"NewRow11","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow12","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow13","Special","Rare","Rare",2,2,"BonusCrates",,"True"
"NewRow15","Special","Rare","Rare",3,3,"BonusXP",,"True"
"NewRow16","Special","Rare","Rare",1,1,"VisibleFinalReward",,"True"
