,"EntryType","LootMinRarity","LootMaxRarity","LootMinPowerLevel","LootMaxPowerLevel","LootType","LootSpecifier","AllowGrouping"
"NewRow1","Reward","Supreme","Supreme",9,11,"Armour","Any","True"
"NewRow2","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow3","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow4","Loot","Rare","Rare",2,2,"Mod","Any","True"
"NewRow5","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow6","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow7","Loot","Rare","Rare",2,2,"Armour","Any","True"
"NewRow8","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow9","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow10","Special","Rare","Rare",2,2,"BonusCrates",,"True"
"NewRow11","Special","Rare","Rare",3,3,"BonusXP",,"True"
"NewRow13","Special","Rare","Rare",1,1,"VisibleFinalReward",,"True"
"NewRow14","Reward","Rare","Rare",6,6,"Character","Any| Any|-10","True"
"NewRow15","Reward","Rare","Rare",6,6,"Character","Any| Any|-10","True"
